stime,proto,sip,dip,uplink_length,downlink_length
2017-11-01 09:59:25,smtp,10.1.4.17,10.5.71.60,114,152
2017-11-01 10:00:00,smtp,10.1.4.17,10.5.71.60,196,200
2017-11-01 10:00:00,smtp,10.1.4.17,10.5.71.60,101,325
2017-11-01 10:00:00,smtp,10.1.4.17,10.5.71.60,121,260
2017-11-01 10:03:33,smtp,14.17.32.47,10.5.71.60,137,247
2017-11-01 10:03:38,smtp,10.116.216.71,10.5.71.60,132,266
2017-11-01 10:03:47,smtp,10.116.216.71,10.5.71.60,106,122
2017-11-01 10:06:00,smtp,10.64.105.43,10.5.71.60,159,114
2017-11-01 10:06:42,smtp,10.116.216.71,10.5.71.60,139,249
2017-11-01 10:06:44,smtp,122.247.85.76,10.5.71.60,198,240
2017-11-01 10:07:14,smtp,10.64.106.32,10.5.71.60,127,322
2017-11-01 10:07:42,smtp,10.116.216.71,10.5.71.60,113,332
2017-11-01 10:08:47,smtp,123.55.2.233,10.5.71.60,147,299
2017-11-01 10:09:35,smtp,10.116.216.71,10.5.71.60,107,241
2017-11-01 10:14:00,smtp,10.116.216.71,10.5.71.60,144,197
2017-11-01 10:15:19,smtp,125.112.225.185,10.5.71.60,175,356
2017-11-01 10:15:54,smtp,10.116.216.71,10.5.71.60,163,266
2017-11-01 10:16:22,smtp,10.64.106.38,10.5.71.60,147,249
2017-11-01 10:16:23,smtp,10.116.216.71,10.5.71.60,148,104
2017-11-01 10:16:55,smtp,115.213.99.80,10.5.71.60,167,319
2017-11-01 10:17:17,smtp,10.116.216.71,10.5.71.60,198,213
2017-11-01 10:17:41,smtp,10.116.216.71,10.5.71.60,110,171
2017-11-01 10:19:02,smtp,10.116.216.71,10.5.71.60,143,183
2017-11-01 10:19:18,smtp,10.64.105.235,10.5.71.60,171,261
2017-11-01 10:19:52,smtp,10.116.216.71,10.5.71.60,132,372
2017-11-01 10:20:01,smtp,10.116.216.72,10.5.71.60,114,368
2017-11-01 10:20:01,smtp,10.116.216.71,10.5.71.60,130,206
2017-11-01 10:20:07,smtp,10.116.216.71,10.5.71.60,194,354
2017-11-01 10:20:19,smtp,10.64.105.76,10.5.71.60,130,308
2017-11-01 10:20:24,smtp,10.116.216.71,10.5.71.60,173,268
2017-11-01 10:20:34,smtp,10.116.216.71,10.5.71.60,144,280
2017-11-01 10:20:44,smtp,10.116.216.71,10.5.71.60,153,398
2017-11-01 10:20:54,smtp,10.116.216.72,10.5.71.60,111,296
2017-11-01 10:20:56,smtp,10.116.216.71,10.5.71.60,198,194
2017-11-01 10:21:08,smtp,10.116.216.71,10.5.71.60,139,100
2017-11-01 10:21:08,smtp,10.64.106.10,10.5.71.60,133,189
2017-11-01 10:21:14,smtp,10.116.216.71,10.5.71.60,104,345
2017-11-01 10:21:19,smtp,10.116.216.71,10.5.71.60,165,163
2017-11-01 10:21:42,smtp,10.116.216.72,10.5.71.60,189,259
2017-11-01 10:21:51,smtp,10.64.106.3,10.5.71.60,167,313
2017-11-01 10:21:58,smtp,10.116.216.72,10.5.71.60,114,112
2017-11-01 10:22:03,smtp,10.116.216.73,10.5.71.60,199,251
2017-11-01 10:22:05,smtp,10.64.105.195,10.5.71.60,139,184
2017-11-01 10:22:09,smtp,10.116.216.71,10.5.71.60,192,177
2017-11-01 10:22:10,smtp,10.116.216.71,10.5.71.60,158,209
2017-11-01 10:22:26,smtp,10.116.216.73,10.5.71.60,151,323
2017-11-01 10:22:46,smtp,10.116.216.71,10.5.71.60,166,100
2017-11-01 10:22:47,smtp,10.116.216.71,10.5.71.60,171,239
2017-11-01 10:22:49,smtp,10.64.105.132,10.5.71.60,186,135
2017-11-01 10:22:50,smtp,118.192.64.194,10.5.71.60,151,283
2017-11-01 10:23:00,smtp,10.116.216.71,10.5.71.60,161,132
2017-11-01 10:23:07,smtp,10.64.105.211,10.5.71.60,185,237
2017-11-01 10:23:11,smtp,10.116.216.71,10.5.71.60,102,326
2017-11-01 10:23:16,smtp,180.116.214.140,10.5.71.60,152,350
2017-11-01 10:23:18,smtp,10.116.216.73,10.5.71.60,117,182
2017-11-01 10:23:21,smtp,10.64.105.12,10.5.71.60,124,325
2017-11-01 10:23:33,smtp,10.116.216.72,10.5.71.60,144,253
2017-11-01 10:24:01,smtp,10.64.105.99,10.5.71.60,119,387
2017-11-01 10:24:02,smtp,10.116.216.71,10.5.71.60,125,247
2017-11-01 10:24:03,smtp,10.116.216.71,10.5.71.60,161,283
2017-11-01 10:24:11,smtp,10.116.216.73,10.5.71.60,118,100
2017-11-01 10:24:17,smtp,10.64.105.183,10.5.71.60,184,189
2017-11-01 10:24:20,smtp,10.116.216.73,10.5.71.60,153,202
2017-11-01 10:24:21,smtp,10.116.216.72,10.5.71.60,163,186
2017-11-01 10:24:35,smtp,10.64.105.117,10.5.71.60,124,200
2017-11-01 10:24:48,smtp,10.64.105.72,10.5.71.60,113,356
2017-11-01 10:24:58,smtp,10.64.105.207,10.5.71.60,145,276
2017-11-01 10:25:12,smtp,10.116.216.71,10.5.71.60,142,269
2017-11-01 10:25:18,smtp,10.116.216.72,10.5.71.60,155,391
2017-11-01 10:25:41,smtp,10.64.105.54,10.5.71.60,150,175
2017-11-01 10:25:54,smtp,118.192.64.194,10.5.71.60,138,159
2017-11-01 10:25:55,smtp,10.116.216.71,10.5.71.60,191,259
2017-11-01 10:25:59,smtp,222.189.244.116,10.5.71.60,176,365
2017-11-01 10:26:11,smtp,125.112.226.59,10.5.71.60,128,215
2017-11-01 10:26:16,smtp,10.116.216.71,10.5.71.60,191,162
2017-11-01 10:26:20,smtp,10.64.105.190,10.5.71.60,127,217
2017-11-01 10:26:21,smtp,10.116.216.71,10.5.71.60,186,204
2017-11-01 10:26:31,smtp,10.116.216.71,10.5.71.60,183,290
2017-11-01 10:26:32,smtp,10.116.216.71,10.5.71.60,172,142
2017-11-01 10:26:35,smtp,163.177.72.176,10.5.71.60,106,276
2017-11-01 10:26:39,smtp,10.64.105.133,10.5.71.60,184,382
2017-11-01 10:26:42,smtp,10.64.106.8,10.5.71.60,131,192
2017-11-01 10:26:43,smtp,10.116.216.72,10.5.71.60,174,293
2017-11-01 10:26:53,smtp,10.116.216.71,10.5.71.60,184,308
2017-11-01 10:27:21,smtp,10.116.216.71,10.5.71.60,104,234
2017-11-01 10:27:24,smtp,10.116.216.71,10.5.71.60,173,200
2017-11-01 10:27:25,smtp,10.64.105.136,10.5.71.60,116,293
2017-11-01 10:27:29,smtp,10.64.105.73,10.5.71.60,106,207
2017-11-01 10:27:33,smtp,10.116.216.71,10.5.71.60,174,270
2017-11-01 10:27:36,smtp,10.116.216.72,10.5.71.60,183,368
2017-11-01 10:27:38,smtp,10.116.216.71,10.5.71.60,156,397
2017-11-01 10:27:39,smtp,10.116.216.71,10.5.71.60,189,370
2017-11-01 10:27:40,smtp,10.116.216.72,10.5.71.60,174,204
2017-11-01 10:27:51,smtp,219.142.78.230,10.5.71.60,157,277
2017-11-01 10:27:54,smtp,10.116.216.71,10.5.71.60,102,320
2017-11-01 10:28:11,smtp,10.116.216.72,10.5.71.60,102,206
2017-11-01 10:28:19,smtp,10.116.216.71,10.5.71.60,194,380
2017-11-01 10:28:21,smtp,10.116.216.73,10.5.71.60,143,257
2017-11-01 10:28:26,smtp,10.116.216.71,10.5.71.60,178,229
2017-11-01 10:28:28,smtp,118.192.64.194,10.5.71.60,142,245
2017-11-01 10:28:33,smtp,10.116.216.72,10.5.71.60,181,178
2017-11-01 10:28:41,smtp,123.65.70.135,10.5.71.60,131,354
2017-11-01 10:28:41,smtp,10.64.105.203,10.5.71.60,174,255
2017-11-01 10:28:55,smtp,10.116.216.71,10.5.71.60,142,177
2017-11-01 10:28:55,smtp,10.116.216.71,10.5.71.60,195,378
2017-11-01 10:28:56,smtp,10.116.216.71,10.5.71.60,146,388
2017-11-01 10:28:59,smtp,10.116.216.71,10.5.71.60,147,321
2017-11-01 10:29:05,smtp,10.116.216.72,10.5.71.60,195,283
2017-11-01 10:29:07,smtp,10.116.216.73,10.5.71.60,132,141
2017-11-01 10:29:08,smtp,10.116.216.71,10.5.71.60,187,174
2017-11-01 10:29:09,smtp,10.116.216.72,10.5.71.60,173,382
2017-11-01 10:29:23,smtp,10.116.216.71,10.5.71.60,176,213
2017-11-01 10:29:23,smtp,10.116.216.71,10.5.71.60,176,363
2017-11-01 10:29:39,smtp,10.64.105.112,10.5.71.60,115,326
2017-11-01 10:29:50,smtp,10.64.105.179,10.5.71.60,191,301
2017-11-01 10:29:58,smtp,10.64.105.97,10.5.71.60,154,216
2017-11-01 10:30:06,smtp,10.116.216.72,10.5.71.60,176,285
2017-11-01 10:30:19,smtp,125.112.225.185,10.5.71.60,150,145
2017-11-01 10:30:20,smtp,10.116.216.72,10.5.71.60,150,298
2017-11-01 10:30:25,smtp,218.0.69.130,10.5.71.60,157,316
2017-11-01 10:30:29,smtp,10.116.216.72,10.5.71.60,182,338
2017-11-01 10:30:29,smtp,10.116.216.71,10.5.71.60,152,278
2017-11-01 10:30:37,smtp,10.116.216.71,10.5.71.60,176,287
2017-11-01 10:30:47,smtp,10.116.216.71,10.5.71.60,112,131
2017-11-01 10:30:51,smtp,10.116.216.71,10.5.71.60,184,327
2017-11-01 10:30:52,smtp,10.116.216.72,10.5.71.60,102,187
2017-11-01 10:30:55,smtp,10.116.216.71,10.5.71.60,137,133
2017-11-01 10:30:57,smtp,10.64.106.10,10.5.71.60,106,168
2017-11-01 10:30:59,smtp,10.116.216.71,10.5.71.60,170,219
2017-11-01 10:31:03,smtp,10.64.106.36,10.5.71.60,147,205
2017-11-01 10:31:09,smtp,125.112.226.59,10.5.71.60,150,269
2017-11-01 10:31:16,smtp,10.116.216.71,10.5.71.60,171,374
2017-11-01 10:31:22,smtp,10.64.105.36,10.5.71.60,152,184
2017-11-01 10:31:27,smtp,10.116.216.72,10.5.71.60,146,288
2017-11-01 10:31:36,smtp,111.202.126.72,10.5.71.60,175,250
2017-11-01 10:31:49,smtp,10.116.216.71,10.5.71.60,130,265
2017-11-01 10:31:59,smtp,10.64.105.93,10.5.71.60,107,275
2017-11-01 10:31:59,smtp,10.116.216.71,10.5.71.60,135,357
2017-11-01 10:32:09,smtp,10.64.105.146,10.5.71.60,118,349
2017-11-01 10:32:10,smtp,60.182.126.242,10.5.71.60,199,135
2017-11-01 10:32:19,smtp,10.116.216.73,10.5.71.60,131,359
2017-11-01 10:32:24,smtp,10.116.216.72,10.5.71.60,117,349
2017-11-01 10:32:34,smtp,10.116.216.71,10.5.71.60,121,207
2017-11-01 10:32:38,smtp,10.116.216.72,10.5.71.60,159,239
2017-11-01 10:32:43,smtp,10.116.216.71,10.5.71.60,165,261
2017-11-01 10:32:48,smtp,10.116.216.71,10.5.71.60,150,368
2017-11-01 10:32:51,smtp,10.116.216.72,10.5.71.60,108,272
2017-11-01 10:32:58,smtp,10.116.216.71,10.5.71.60,115,363
2017-11-01 10:33:00,smtp,10.116.216.71,10.5.71.60,127,286
2017-11-01 10:33:03,smtp,10.116.216.71,10.5.71.60,113,303
2017-11-01 10:33:04,smtp,10.116.216.71,10.5.71.60,148,252
2017-11-01 10:33:10,smtp,10.116.216.71,10.5.71.60,152,375
2017-11-01 10:33:11,smtp,10.116.216.71,10.5.71.60,152,283
2017-11-01 10:33:14,smtp,61.144.234.194,10.5.71.60,190,287
2017-11-01 10:33:15,smtp,10.116.216.72,10.5.71.60,153,123
2017-11-01 10:33:15,smtp,10.64.106.4,10.5.71.60,150,289
2017-11-01 10:33:19,smtp,111.202.126.72,10.5.71.60,150,128
2017-11-01 10:33:21,smtp,10.116.216.72,10.5.71.60,116,339
2017-11-01 10:33:24,smtp,10.116.216.72,10.5.71.60,133,180
2017-11-01 10:33:32,smtp,10.116.216.71,10.5.71.60,155,399
2017-11-01 10:33:38,smtp,10.116.216.71,10.5.71.60,101,339
2017-11-01 10:33:40,smtp,10.116.216.71,10.5.71.60,115,373
2017-11-01 10:33:40,smtp,10.64.105.185,10.5.71.60,151,164
2017-11-01 10:33:42,smtp,10.116.216.71,10.5.71.60,148,186
2017-11-01 10:33:57,smtp,10.116.216.72,10.5.71.60,137,352
2017-11-01 10:33:58,smtp,10.116.216.71,10.5.71.60,101,199
2017-11-01 10:33:58,smtp,10.116.216.71,10.5.71.60,187,133
2017-11-01 10:34:02,smtp,10.64.105.109,10.5.71.60,195,191
2017-11-01 10:34:08,smtp,10.116.216.73,10.5.71.60,105,368
2017-11-01 10:34:08,smtp,10.64.105.20,10.5.71.60,100,380
2017-11-01 10:34:11,smtp,10.116.216.71,10.5.71.60,169,330
2017-11-01 10:34:16,smtp,10.116.216.72,10.5.71.60,101,321
2017-11-01 10:34:21,smtp,10.116.216.71,10.5.71.60,131,284
2017-11-01 10:34:21,smtp,10.64.105.110,10.5.71.60,164,125
2017-11-01 10:34:24,smtp,10.116.216.71,10.5.71.60,189,168
2017-11-01 10:34:26,smtp,10.1.4.17,10.5.71.60,136,340
2017-11-01 10:34:30,smtp,10.116.216.73,10.5.71.60,161,342
2017-11-01 10:34:54,smtp,10.64.105.199,10.5.71.60,171,271
2017-11-01 10:34:59,smtp,10.116.216.71,10.5.71.60,190,289
2017-11-01 10:35:05,smtp,10.116.216.71,10.5.71.60,188,112
2017-11-01 10:35:05,smtp,10.116.216.71,10.5.71.60,130,121
2017-11-01 10:35:20,smtp,10.116.216.71,10.5.71.60,181,240
2017-11-01 10:35:22,smtp,10.64.105.35,10.5.71.60,120,173
2017-11-01 10:35:29,smtp,10.116.216.72,10.5.71.60,184,281
2017-11-01 10:35:36,smtp,10.116.216.73,10.5.71.60,169,199
2017-11-01 10:35:45,smtp,222.185.184.72,10.5.71.60,130,118
2017-11-01 10:35:47,smtp,115.213.99.80,10.5.71.60,169,129
2017-11-01 10:35:49,smtp,115.210.40.27,10.5.71.60,111,220
2017-11-01 10:35:50,smtp,10.64.105.140,10.5.71.60,194,153
2017-11-01 10:35:56,smtp,10.116.216.73,10.5.71.60,142,371
2017-11-01 10:35:58,smtp,10.116.216.71,10.5.71.60,178,197
2017-11-01 10:36:04,smtp,10.116.216.72,10.5.71.60,139,243
2017-11-01 10:36:10,smtp,10.116.216.71,10.5.71.60,155,185
2017-11-01 10:36:22,smtp,10.64.105.76,10.5.71.60,154,305
2017-11-01 10:36:35,smtp,10.64.105.87,10.5.71.60,119,211
2017-11-01 10:36:38,smtp,10.116.216.71,10.5.71.60,113,398
2017-11-01 10:36:41,smtp,10.64.105.23,10.5.71.60,106,101
2017-11-01 10:36:53,smtp,118.192.64.194,10.5.71.60,198,211
2017-11-01 10:36:54,smtp,10.116.216.71,10.5.71.60,185,181
2017-11-01 10:36:54,smtp,111.202.126.72,10.5.71.60,155,133
2017-11-01 10:37:00,smtp,10.116.216.71,10.5.71.60,133,266
2017-11-01 10:37:03,smtp,10.116.216.73,10.5.71.60,151,220
2017-11-01 10:37:05,smtp,10.64.105.111,10.5.71.60,134,327
2017-11-01 10:37:11,smtp,10.116.216.71,10.5.71.60,189,399
2017-11-01 10:37:19,smtp,10.116.216.73,10.5.71.60,152,265
2017-11-01 10:37:19,smtp,10.64.106.14,10.5.71.60,167,270
2017-11-01 10:37:21,smtp,10.116.216.71,10.5.71.60,181,145
2017-11-01 10:37:30,smtp,10.64.105.81,10.5.71.60,180,121
2017-11-01 10:37:34,smtp,10.116.216.71,10.5.71.60,180,310
2017-11-01 10:37:36,smtp,222.189.246.160,10.5.71.60,161,394
2017-11-01 10:37:41,smtp,10.116.216.71,10.5.71.60,177,193
2017-11-01 10:37:42,smtp,10.116.216.71,10.5.71.60,101,191
2017-11-01 10:37:46,smtp,10.116.216.71,10.5.71.60,116,269
2017-11-01 10:37:53,smtp,10.116.216.71,10.5.71.60,150,201
2017-11-01 10:37:55,smtp,10.116.216.71,10.5.71.60,117,178
2017-11-01 10:37:55,smtp,10.116.216.71,10.5.71.60,101,315
2017-11-01 10:37:56,smtp,10.64.105.204,10.5.71.60,148,177
2017-11-01 10:38:04,smtp,10.116.216.72,10.5.71.60,174,211
2017-11-01 10:38:17,smtp,10.116.216.71,10.5.71.60,142,243
2017-11-01 10:38:18,smtp,10.116.216.71,10.5.71.60,176,274
2017-11-01 10:38:24,smtp,10.64.105.7,10.5.71.60,170,179
2017-11-01 10:38:24,smtp,10.116.216.73,10.5.71.60,138,193
2017-11-01 10:38:30,smtp,10.116.216.72,10.5.71.60,171,263
2017-11-01 10:38:30,smtp,111.202.126.72,10.5.71.60,178,240
2017-11-01 10:38:31,smtp,10.116.216.71,10.5.71.60,100,146
2017-11-01 10:38:31,smtp,10.116.216.71,10.5.71.60,111,152
2017-11-01 10:38:37,smtp,10.116.216.71,10.5.71.60,162,318
2017-11-01 10:38:39,smtp,10.116.216.73,10.5.71.60,167,388
2017-11-01 10:38:43,smtp,10.116.216.71,10.5.71.60,180,130
2017-11-01 10:38:43,smtp,10.116.216.72,10.5.71.60,158,301
2017-11-01 10:38:47,smtp,10.116.216.73,10.5.71.60,172,340
2017-11-01 10:38:48,smtp,10.64.105.165,10.5.71.60,182,165
2017-11-01 10:38:51,smtp,219.142.78.230,10.5.71.60,191,224
2017-11-01 10:38:52,smtp,10.116.216.72,10.5.71.60,146,145
2017-11-01 10:38:56,smtp,10.116.216.71,10.5.71.60,111,126
2017-11-01 10:39:00,smtp,10.116.216.73,10.5.71.60,152,347
2017-11-01 10:39:02,smtp,219.142.78.230,10.5.71.60,156,298
2017-11-01 10:39:06,smtp,10.116.216.72,10.5.71.60,132,100
2017-11-01 10:39:11,smtp,10.64.106.19,10.5.71.60,199,260
2017-11-01 10:39:14,smtp,10.116.216.72,10.5.71.60,198,260
2017-11-01 10:39:17,smtp,10.116.216.71,10.5.71.60,132,341
2017-11-01 10:39:21,smtp,10.116.216.73,10.5.71.60,164,310
2017-11-01 10:39:28,smtp,10.116.216.71,10.5.71.60,120,166
2017-11-01 10:39:29,smtp,10.116.216.71,10.5.71.60,153,331
2017-11-01 10:39:31,smtp,10.116.216.72,10.5.71.60,184,175
2017-11-01 10:39:37,smtp,10.64.105.201,10.5.71.60,142,239
2017-11-01 10:39:39,smtp,163.177.72.176,10.5.71.60,158,142
2017-11-01 10:39:40,smtp,10.116.216.71,10.5.71.60,143,187
2017-11-01 10:39:41,smtp,10.116.216.71,10.5.71.60,155,254
2017-11-01 10:39:43,smtp,10.64.105.54,10.5.71.60,127,181
2017-11-01 10:39:55,smtp,10.116.216.73,10.5.71.60,135,219
2017-11-01 10:40:16,smtp,10.116.216.72,10.5.71.60,126,330
2017-11-01 10:40:27,smtp,10.116.216.72,10.5.71.60,182,320
2017-11-01 10:40:29,smtp,10.116.216.72,10.5.71.60,195,301
2017-11-01 10:40:30,smtp,10.116.216.71,10.5.71.60,156,303
2017-11-01 10:40:31,smtp,10.116.216.71,10.5.71.60,149,266
2017-11-01 10:40:36,smtp,10.116.216.72,10.5.71.60,149,360
2017-11-01 10:40:37,smtp,10.64.106.43,10.5.71.60,109,150
2017-11-01 10:40:41,smtp,10.64.105.238,10.5.71.60,147,123
2017-11-01 10:40:42,smtp,10.64.105.21,10.5.71.60,187,259
2017-11-01 10:40:44,smtp,10.116.216.71,10.5.71.60,148,314
2017-11-01 10:40:44,smtp,10.116.216.71,10.5.71.60,179,278
2017-11-01 10:40:45,smtp,10.116.216.71,10.5.71.60,145,144
2017-11-01 10:40:59,smtp,10.116.216.72,10.5.71.60,103,350
2017-11-01 10:41:05,smtp,10.116.216.71,10.5.71.60,149,134
2017-11-01 10:41:07,smtp,10.116.216.72,10.5.71.60,184,383
2017-11-01 10:41:11,smtp,10.116.216.71,10.5.71.60,154,311
2017-11-01 10:41:13,smtp,10.64.105.18,10.5.71.60,173,133
2017-11-01 10:41:16,smtp,10.64.105.215,10.5.71.60,196,267
2017-11-01 10:41:18,smtp,10.116.216.71,10.5.71.60,177,298
2017-11-01 10:41:20,smtp,10.116.216.72,10.5.71.60,112,281
2017-11-01 10:41:25,smtp,10.64.105.17,10.5.71.60,166,233
2017-11-01 10:41:34,smtp,10.116.216.71,10.5.71.60,160,253
2017-11-01 10:41:35,smtp,163.177.72.176,10.5.71.60,108,168
2017-11-01 10:41:35,smtp,10.116.216.71,10.5.71.60,182,313
2017-11-01 10:41:37,smtp,10.116.216.71,10.5.71.60,197,356
2017-11-01 10:41:37,smtp,10.116.216.71,10.5.71.60,149,191
2017-11-01 10:41:38,smtp,124.115.123.199,10.5.71.60,181,313
2017-11-01 10:41:40,smtp,10.116.216.71,10.5.71.60,113,378
2017-11-01 10:41:48,smtp,10.116.216.71,10.5.71.60,197,197
2017-11-01 10:41:51,smtp,10.116.216.72,10.5.71.60,125,372
2017-11-01 10:41:54,smtp,10.116.216.71,10.5.71.60,183,284
2017-11-01 10:41:56,smtp,10.116.216.71,10.5.71.60,185,257
2017-11-01 10:41:56,smtp,10.116.216.71,10.5.71.60,102,244
2017-11-01 10:41:57,smtp,125.112.226.59,10.5.71.60,141,116
2017-11-01 10:42:02,smtp,10.116.216.71,10.5.71.60,130,109
2017-11-01 10:42:04,smtp,10.116.216.72,10.5.71.60,195,209
2017-11-01 10:42:10,smtp,180.116.214.140,10.5.71.60,144,352
